Date,EF#(Fujita rating),State,Location,County,latitude,lng,longitude,Time,Path  Length Distance Miles,Path  Length Distance KM,totaldate,totalstates
02-28-2011,2,Illinois,SW of Altamont,Fayette,38.95,88.82,-88.82,6:32,0.099,0.16,,
02-28-2011,1,Illinois,SE of St. Elmo,Fayette,39.01,88.85,-88.85,6:35,0.068,0.11,,
02-28-2011,1,Illinois,N of Pocahontas,Bond,38.88,89.48,-89.48,6:50,0.168,0.27,,
02-28-2011,1,Indiana,W of Ingalls,Madison,39.96,85.82,-85.82,6:20,0.5,0.8,,6
02-28-2011,1,Indiana,Owensville area,Gibson,38.27,87.8,-87.8,7:43,22,35,,
02-28-2011,2,Indiana,Oakland Ciry area,"Gibson, Pike",38.34,87.54,-87.54,7:51,19.25,30.98,,
02-28-2011,0,Indiana,Otwell area,Pike,38.43,87.12,-87.12,8:10,2,3.2,,
02-28-2011,2,Indiana,Celestine area,Dubois,38.43,86.72,-86.72,8:19,15.7,25.3,,
02-28-2011,1,Indiana,Utica area,"Clark, Jefferson(KY)",38.33,85.66,-85.66,9:29,3,4.8,,
02-28-2011,3,Kentucky,SE of Eminence,Henry,38.21,85.09,-85.09,9:59,2.3,3.7,,
02-28-2011,1,Kentucky,S of Stanford,Lincoln,37.31,84.4,-84.4,11:49,9,14,,
02-28-2011,1,Kentucky,N of Gillmore,Wolfe,37.45,83.22,-83.22,12:37,0.25,0.4,,
02-28-2011,1,Ohio,SSE of Millersport,Fairfield,39.86,82.53,-82.53,11:00,5,8,,1
02-28-2011,1,Alabama,NE of Hazel Green,Madison,35.01,86.36,-86.36,18:18,4.2,6.8,,
02-28-2011,0,Alabama,SE of Nottingham,Talladega,33.43,86.1,-86.1,21:53,0.4,0.64,,
02-28-2011,0,Alabama,NE of Prattville,"Autauga, Elmore",32.27,86.27,-86.27,23:05,9,14,,
02-28-2011,0,Alabama,N of White Plains,Chambers,33.75,85.69,-85.69,23:28,1.9,3.1,,
02-28-2011,1,Alabama,N of Tyson,Lowndes,32.15,86.65,-86.65,23:37,5,8,,
02-28-2011,2,Tennessee,SE of Lynchburg,"Moore, Franklin",35.26,86.13,-86.13,18:18,11,18,,
02-28-2011,0,Tennessee,W of South Pittsburg,Marion,35.07,85.63,-85.63,19:00,0.1,0.16,,
02-28-2011,1,Tennessee,Signal Mountain,Hamilton,35.13,85.35,-85.35,19:25,2.2,3.5,,
02-28-2011,1,Tennessee,N of Red Bank,Hamilton,35.07,85.26,-85.26,19:30,2.6,4.2,,
02-28-2011,0,South Carolina,N of Travelers Rest,Greenville,35.05,82.44,-82.44,22:02,1.3,2.1,,3
02-28-2011,0,South Carolina,N of Greenville,Greenville,34.81,82.3,-82.3,22:45,0.031,0.05,,
02-28-2011,1,South Carolina,NNE of Silverstreet,Newberrry,34.24,81.71,-81.71,0:24,unknown,,,
03-05-2011,0,Louisiana,N of Niblett,Jefferson Davis,30.06,92.49,-92.49,14:30,5,8,7,
03-05-2011,0,Louisiana,SSE of Roanoke,Jefferson Davis,30.09,92.43,-92.43,14:50,3,4.8,,
03-05-2011,0,Louisiana,NNW of Crowley,Acadia,30.13,92.24,-92.24,15:44,1,1.6,,
03-05-2011,2,Louisiana,Rayne area,Acadia,30.13,92.18,-92.18,15:51,7,11,,
03-05-2011,1,Louisiana,E of Zachary,East Baton Rouge,30.39,91.05,-91.05,18:20,0.2,0.32,,
03-05-2011,0,Louisiana,S of Satsuma,Livingston,30.24,90.48,-90.48,18:27,0.2,0.32,,
03-05-2011,1,Louisiana,N of Schriever,Terrebonne,29.46,90.49,-90.49,18:32,0.5,0.8,,
03-06-2011,0,North Carolina,ENE of Rolesville,Wake,35.55,78.27,-78.27,22:10,2,3.2,3,3
03-06-2011,0,North Carolina,SSE of Stantonsburg,Wilson,35.35,77.48,-77.48,23:17,0.5,0.8,,
03-06-2011,0,North Carolina,SSE of Stantonsburg,Greene,35.33,77.48,-77.48,23:17,1,1.61,,
03-08-2011,0,Texas,W of Paris,Lamar,33.6,95.78,-95.78,22:15,4,6.4,5,
03-08-2011,1,Texas,Clarksville area,Red River,33.61,95.15,-95.15,23:15,11,18,,
03-08-2011,1,Louisiana,SSE of Alexandria,Rapides,31.21,92.43,-92.43,1:30,unknown,,,
03-08-2011,1,Louisiana,W of Woodworth,Rapides,31.15,92.55,-92.55,3:04,2.5,4,,
03-08-2011,0,Louisiana,ENE of Pineville,Rapides,31.35,92.33,-92.33,4:27,3,4.8,,
03-09-2011,1,Mississippi,NE of Utica,Hinds,32.12,90.62,-90.62,7:08,6,9.7,5,
03-09-2011,2,Mississippi,NW of Terry,Hinds,32.13,90.34,-90.34,7:34,3,4.8,,
03-09-2011,1,Mississippi,Picayune,Pearl River,30.53,89.68,-89.68,11:25,3,4.8,,
03-09-2011,1,Mississippi,N of Long Beach,Harrison,30.44,89.16,-89.16,13:25,1,1.6,,
03-09-2011,1,Mississippi,N of Biloxi,Harrison,30.44,89.16,-89.16,13:30,1,1.6,,
